username,count_of_user
ascha_0357,6
sscha_1259,6
mscha_0257,6
sscha_0459,6
mbern_0855,5
sfarr_0861,5
spass_0159,5
mbern_0356,5
tscha_0159,5
sscha_0263,5
sscha_0763,5
tscha_1155,5
amatz_1064,5
sscha_0256,5
fbasa_0360,5
mscha_1064,5
sscha_0759,4
sscha_0960,4
mrosa_0762,4
santo_0154,4
amara_1058,4
mscha_0353,4
mpicc_0164,4
sneim_0352,4
spero_0753,4
smurt_0255,4
mschi_0452,4
kscha_0760,4
ssten_0159,4
kandr_1062,4
sscha_0354,4
kkorn_0258,4
sfeld_0261,4
gscha_1260,4
sscha_0161,4
scoll_0254,4
sbenn_1056,4
ascha_1063,4
sstre_1263,4
fshir_0655,4
sbern_1054,4
mples_0262,4
dscha_0352,4
kschn_0360,4
yscha_1254,4
mparg_0561,4
sscha_0652,4
smasa_0163,4
mmarc_0863,4
sscha_0562,4
sstre_1155,4
ascha_0658,4
smurt_1252,4
sscha_0954,4
fscha_0353,4
mscha_1157,4
mmorr_1062,4
sscha_0455,4
kscha_0854,4
jscha_0759,4
shofm_0955,4
sscha_0560,4
mscha_0463,4
ascha_1259,4
schor_0256,4
mscha_1262,4
msolo_0859,4
kscha_0461,4
sscha_0961,4
sfarg_1057,4
sgoma_0255,4
mscha_0753,4
seter_0960,4
mnara_0764,4
tbier_0857,4
scont_0954,4
sscha_0364,4
hscha_0753,4
sscha_1163,4
sscha_1064,4
mkamb_0656,4
vbrod_0854,4
mscha_0854,4
ascha_0163,4
mscha_0454,4
mscha_0460,4
gferr_1061,4
sbasa_0552,4
tnitt_0864,3
sswil_0360,3
kjans_0653,3
ssamb_1264,3
sscha_0355,3
mhiro_0956,3
mosgo_0161,3
sscha_1154,3
fscha_0653,3
gcont_0661,3
mlena_1155,3
mrois_1259,3
ascha_0155,3
tfarr_0161,3
nhash_1056,3
sstan_0256,3
sbroo_0155,3
rnitt_0864,3
sscha_1057,3
mgeor_1059,3
hwieg_0655,3
svers_0165,3
klodd_0862,3
hcrel_0453,3
apett_1064,3
mscha_0157,3
kmars_0457,3
sengb_1060,3
mscha_1254,3
mtsuk_0856,3
kthir_0657,3
sschu_0159,3
ncons_0452,3
pmand_0753,3
mpiet_1157,3
hleij_1259,3
schim_0358,3
mgecs_0655,3
tscha_0559,3
sdemi_0758,3
scron_1259,3
cscha_0356,3
jscha_0359,3
mkati_0663,3
sorlo_0356,3
sdelg_0652,3
sbrod_1260,3
mrama_0657,3
lscha_0864,3
dbenn_1264,3
krois_0162,3
mducl_1059,3
gscha_1157,3
mzuma_1155,3
slitz_1261,3
mspee_0754,3
